id,imdb_votes,number_in_season,number_in_series,original_air_date,season,title,us_viewers_in_millions,imdb_score
522,423.0,14,522,2013-03-03,24,Gorgeous Grampa,4.66,6.2
313,697.0,22,313,2003-05-18,14,Moe Baby Blues,13.44,7.7
83,2010.0,2,83,1993-10-07,5,Cape Feare,20.0,9.0
526,405.0,18,526,2013-04-28,24,Pulpit Friction,4.54,6.5
348,530.0,13,348,2005-03-20,16,Mobile Homer,8.49,7.0
39,1446.0,4,39,1991-10-10,3,Bart the Murderer,20.8,8.7
184,925.0,6,184,1997-11-09,9,Bart Star,10.6,7.7
168,1666.0,15,168,1997-02-16,8,Homer's Phobia,15.3,8.9
185,905.0,7,185,1997-11-16,9,The Two Mrs. Nahasapeemapetilons,11.4,7.7
34,1379.0,21,34,1991-05-09,2,Three Men and a Comic Book,21.0,8.4
452,532.0,11,452,2010-01-31,21,Million Dollar Maybe,5.11,7.1
277,649.0,8,277,2002-01-20,13,Sweets and Sour Marge,12.3,7.0
223,779.0,20,223,1999-04-25,10,"The Old Man and the ""C"" Student",6.9,7.3
52,1637.0,17,52,1992-02-20,3,Homer at the Bat,24.6,8.6
496,549.0,10,496,2012-01-08,23,"Politically Inept, with Homer Simpson",5.07,6.1
409,949.0,9,409,2007-12-16,19,Eternal Moonshine of the Simpson Mind,10.15,8.2
292,752.0,1,292,2002-11-03,14,Treehouse of Horror XIII,16.7,7.6
340,539.0,5,340,2004-12-12,16,Fat Man and Little Boy,10.31,7.1
303,628.0,12,303,2003-02-16,14,I'm Spelling As Fast As I Can,22.1,7.3
437,605.0,17,437,2009-04-19,20,"The Good, the Sad and the Drugly",6.5,7.2
31,1257.0,18,31,1991-04-11,2,Brush with Greatness,20.6,8.0
458,482.0,17,458,2010-04-11,21,American History X-cellent,5.65,6.7
89,1270.0,8,89,1993-11-18,5,Boy-Scoutz 'n the Hood,20.1,8.7
453,525.0,12,453,2010-02-14,21,Boy Meets Curl,5.87,6.8
102,1014.0,21,102,1994-05-12,5,Lady Bouvier's Lover,15.1,7.5
62,1747.0,3,62,1992-10-08,4,Homer the Heretic,19.3,9.0
579,385.0,5,579,2015-10-25,27,Treehouse of Horror XXVI,6.75,6.8
187,888.0,9,187,1997-12-07,9,Realty Bites,10.6,7.5
386,578.0,8,386,2006-12-10,18,The Haw-Hawed Couple,8.29,7.2
233,747.0,7,233,1999-11-21,11,Eight Misbehavin',9.2,7.1
366,554.0,10,366,2006-01-08,17,Homer's Paternity Coot,10.1,6.7
222,831.0,19,222,1999-04-11,10,Mom and Pop Art,8.5,7.6
436,604.0,16,436,2009-04-05,20,Eeny Teeny Maya Moe,6.5,7.2
351,661.0,16,351,2005-05-01,16,Don't Fear the Roofer,11.92,7.4
35,1223.0,22,35,1991-07-11,2,Blood Feud,17.3,8.0
29,1264.0,16,29,1991-03-07,2,"Bart's Dog Gets an ""F""",23.9,7.5
444,562.0,3,444,2009-10-11,21,The Great Wife Hope,7.5,6.3
396,585.0,18,396,2007-04-29,18,The Boys of Bummer,7.57,6.3
510,600.0,2,510,2012-10-07,24,Treehouse of Horror XXIII,6.57,7.3
279,683.0,10,279,2002-02-10,13,Half-Decent Proposal,13.2,7.5
585,309.0,11,585,2016-01-10,27,Teenage Mutant Milk-Caused Hurdles,8.33,6.8
406,591.0,6,406,2007-11-11,19,Little Orphan Millie,10.57,6.7
489,654.0,3,489,2011-10-30,23,Treehouse of Horror XXII,8.1,6.6
416,585.0,16,416,2008-04-13,19,Papa Don't Leech,6.9,6.1
594,193.0,20,594,2016-05-08,27,To Courier with Love,2.52,6.7
297,628.0,6,297,2002-12-15,14,The Great Louse Detective,15.5,7.3
9,1578.0,9,9,1990-03-18,1,Life on the Fast Lane,33.5,7.5
7,1638.0,7,7,1990-02-18,1,The Call of the Simpsons,27.6,7.9
198,949.0,20,198,1998-04-05,9,The Trouble with Trillions,7.4,7.9
121,1223.0,18,121,1995-03-05,6,A Star Is Burns,14.4,8.5
355,546.0,20,355,2005-05-15,16,Home Away from Homer,8.17,7.1
415,580.0,15,415,2008-03-30,19,Smoke on the Daughter,7.1,6.7
147,1103.0,19,147,1996-03-24,7,A Fish Called Selma,12.9,8.2
255,766.0,7,255,2000-12-10,12,The Great Money Caper,16.8,7.3
126,1003.0,23,126,1995-05-07,6,The Springfield Connection,12.7,8.2
427,728.0,7,427,2008-11-30,20,MyPods and Boomsticks,7.8,7.1
167,1079.0,14,167,1997-02-09,8,The Itchy & Scratchy & Poochie Show,15.5,7.9
474,464.0,10,474,2011-01-09,22,Moms I'd Like to Forget,12.6,6.3
358,585.0,2,358,2005-09-18,17,The Girl Who Slept Too Little,9.79,6.9
378,587.0,22,378,2006-05-21,17,Marge and Homer Turn a Couple Play,8.23,6.6
495,905.0,9,495,2011-12-11,23,Holidays of Future Passed,6.43,8.2
54,1165.0,19,54,1992-03-12,3,Dog of Death,23.4,7.7
589,233.0,15,589,2016-03-06,27,Lisa the Veterinarian,3.09,6.3
450,481.0,9,450,2010-01-03,21,Thursdays with Abie,8.65,6.8
256,836.0,8,256,2000-12-17,12,Skinner's Sense of Snow,15.9,8.0
545,414.0,15,545,2014-03-23,25,The War of Art,3.98,7.0
349,535.0,14,349,2005-04-03,16,The Seven-Beer Snitch,7.48,6.9
104,1330.0,1,104,1994-09-04,6,Bart of Darkness,15.1,8.6
468,680.0,4,468,2010-11-07,22,Treehouse of Horror XXI,8.19,7.1
518,408.0,10,518,2013-01-13,24,A Test Before Trying,5.04,7.0
15,1588.0,2,15,1990-10-18,2,Simpson and Delilah,29.9,8.3
566,360.0,14,566,2015-02-15,26,My Fare Lady,2.67,6.7
158,1098.0,5,158,1996-11-24,8,Bart After Dark,14.1,8.2
558,977.0,6,558,2014-11-09,26,Simpsorama,6.7,7.9
593,229.0,19,593,2016-04-24,27,Fland Canyon,2.77,7.1
312,575.0,21,312,2003-05-18,14,The Bart of War,12.1,6.6
114,1100.0,11,114,1994-12-18,6,Fear of Flying,15.6,7.8
142,962.0,14,142,1996-02-04,7,Scenes from the Class Struggle in Springfield,14.4,7.7
516,441.0,8,516,2012-12-16,24,To Cur with Love,3.77,7.2
153,1119.0,25,153,1996-05-19,7,Summer of 4 Ft. 2,14.7,8.3
513,426.0,5,513,2012-11-18,24,Penny-Wiseguys,5.06,6.3
532,654.0,2,532,2013-10-06,25,Treehouse of Horror XXIV,6.42,7.1
531,635.0,1,531,2013-09-29,25,Homerland,6.37,7.0
24,1687.0,11,24,1991-01-24,2,"One Fish, Two Fish, Blowfish, Blue Fish",24.2,8.8
129,1497.0,1,129,1995-09-17,7,Who Shot Mr. Burns? (Part Two),16.0,8.9
140,1064.0,12,140,1996-01-07,7,Team Homer,16.7,8.3
454,496.0,13,454,2010-02-21,21,The Color Yellow,6.08,6.6
101,1103.0,20,101,1994-05-05,5,The Boy Who Knew Too Much,15.5,8.2
266,1095.0,18,266,2001-04-29,12,Trilogy of Error,14.4,8.6
373,677.0,17,373,2006-04-09,17,"Kiss Kiss, Bang Bangalore",8.2,7.2
196,906.0,18,196,1998-03-22,9,This Little Wiggy,8.9,7.8
276,649.0,7,276,2002-01-06,13,Brawl in the Family,11.8,6.9
141,1264.0,13,141,1996-01-14,7,Two Bad Neighbors,16.5,8.7
521,406.0,13,521,2013-02-17,24,Hardly Kirk-ing,4.57,7.0
311,570.0,20,311,2003-05-11,14,"Brake My Wife, Please",10.56,6.9
455,480.0,14,455,2010-03-14,21,Postcards from the Wedge,5.23,7.1
216,882.0,13,216,1999-02-07,10,Homer to the Max,8.3,7.7
353,554.0,18,353,2005-05-08,16,A Star Is Torn,8.72,6.8
501,425.0,15,501,2012-03-04,23,Exit Through the Kwik-E-Mart,5.09,6.9
447,543.0,6,447,2009-11-22,21,Pranks and Greens,7.03,6.7
243,780.0,17,243,2000-03-19,11,Bart to the Future,8.77,7.0
534,489.0,4,534,2013-11-10,25,YOLO,4.2,6.7
581,328.0,7,581,2015-11-22,27,Lisa with an 'S',5.64,6.3
429,706.0,9,429,2009-01-25,20,Lisa the Drama Queen,5.75,5.9
342,523.0,7,342,2005-01-30,16,Mommie Beerest,9.97,7.0
183,1081.0,5,183,1997-11-02,9,The Cartridge Family,10.3,8.2
305,577.0,14,305,2003-03-09,14,Mr. Spritz Goes to Washington,14.4,6.9
560,431.0,8,560,2014-11-23,26,Covercraft,3.45,6.5
103,1060.0,22,103,1994-05-19,5,Secrets of a Successful Marriage,15.6,8.0
442,698.0,1,442,2009-09-27,21,Homer the Whopper,8.31,7.1
552,416.0,22,552,2014-05-18,25,The Yellow Badge of Cowardge,3.28,6.7
493,493.0,7,493,2011-11-27,23,The Man in the Blue Flannel Pants,5.61,6.8
512,415.0,4,512,2012-11-11,24,Gone Abie Gone,6.86,6.7
425,615.0,5,425,2008-11-09,20,Dangerous Curves,8.16,6.6
364,706.0,8,364,2005-12-11,17,The Italian Bob,10.39,7.0
51,1272.0,16,51,1992-02-13,3,Bart the Lover,20.5,8.3
69,1350.0,10,69,1992-12-03,4,Lisa's First Word,28.6,8.5
53,1201.0,18,53,1992-02-27,3,Separate Vocations,23.7,8.2
73,1176.0,14,73,1993-02-04,4,Brother from the Same Planet,23.8,8.1
443,585.0,2,443,2009-10-04,21,Bart Gets a 'Z',9.32,6.6
238,747.0,12,238,2000-01-23,11,The Mansion Family,11.3,7.3
306,557.0,15,306,2003-03-16,14,C.E.D'oh,13.0,7.3
390,672.0,12,390,2007-02-11,18,Little Big Girl,8.27,7.0
562,578.0,10,562,2015-01-04,26,The Man Who Came to Be Dinner,10.62,6.8
473,528.0,9,473,2010-12-12,22,Donnie Fatso,7.18,7.0
498,562.0,12,498,2012-01-29,23,Moe Goes from Rags to Riches,5.12,5.7
592,228.0,18,592,2016-04-10,27,How Lisa Got Her Marge Back,2.55,6.4
573,335.0,21,573,2015-05-10,26,Bull-E,2.77,6.8
368,597.0,12,368,2006-02-26,17,My Fair Laddy,9.51,6.4
236,715.0,10,236,2000-01-09,11,Little Big Mom,10.0,7.3
